Marca temporal;Vives en Ate -Vitarte;Genero;¿Cual es tu edad?;¿Cual es su nivel de instrucción?;  ¿Cuál es el ingreso mensual aproximado de su hogar?  ;"Número de personas en su hogar:
";7. ¿Con qué frecuencia realiza compras de alimentos?;"8. ¿Dónde realiza con mayor frecuencia sus compras de productos de primera necesidad?
";"9. ¿Qué factores considera más importantes al momento de elegir dónde comprar alimentos?
";"10. ¿Cuánto gasta aproximadamente en cada compra de alimentos?
";"11. ¿A qué hora suele realizar sus compras?
";12. ¿Cree que los precios de los productos de primera necesidad han subido en los últimos años? ;13. ¿Considera que los mercados tradicionales ofrecen mejores precios que los supermercados?;14. ¿Cuál de los siguientes productos considera más caro en el supermercado en comparación con el mercado? Puede seleccionar varias;15. ¿Cree que los supermercados ofrecen mayor calidad que los mercados tradicionales?;16. ¿Qué tipo de establecimiento recomendaría a una familia con presupuesto limitado?;17. ¿Cuál es su principal motivación al comprar en un supermercado? Puede seleccionar varias ;18. ¿Cuál es su principal motivación al comprar en un mercado tradicional?;2. Genero;¿Cuál es tu edad?;3. ¿Cuál es tu edad?;4. ¿Cuál es su nivel de instrucción?;5.  ¿Cuál es el ingreso mensual aproximado de su hogar?  ;6. Número de personas en su hogar:;1. Vives en Ate -Vitarte
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;Menos de S/ 1,000;( ) 4–5;Muy Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Cercanía, Atención al cliente, Promociones/ofertas;S/ 250 – S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Neutro;Pan, Aceite, Pollo, Arroz, Frutas y verduras, ;En desacuerdo;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Atención al cliente/seguridad;Precios bajos, Productos frescos, Trato directo con vendedores, Cercanía a su hogar, Apoyo a la economía local;;;;;;;
6/9/2025 10:22:03;si;Femenino;18-25;Universitario;1000-2000;( ) 4–5;Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Promociones/ofertas;S/ 250 – S/ 350;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;De acuerdo;Pollo, Frutas y verduras;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Atención al cliente/seguridad;Precios bajos, Trato directo con vendedores, Cercanía a su hogar;;;;;;;
6/9/2025 10:28:56;si;Femenino;18-25;Universitario;2000-3500;( ) 4–5;Frecuentemente;Mercado tradicional;Precio, Variedad, Calidad, Cercanía;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);De acuerdo;De acuerdo;Aceite;Neutro;Mercado tradicional;Mayor limpieza y orden, Ofertas/promociones;Precios bajos, Productos frescos, Trato directo con vendedores;;;;;;;
6/9/2025 10:29:59;si;Femenino;18-25;Universitario;Menos de S/ 1,000;( ) 4–5;Ocasionalmente;Ambos;Variedad;S/ 150 – S/ 250;( ) Mañana (6 a.m. – 12 p.m.);Totalmente de acuerdo;Totalmente de acuerdo;Arroz, Frutas y verduras;Totalmente de acuerdo;Ambos;Variedad de productos, Ofertas/promociones;Precios bajos, Cercanía a su hogar;;;;;;;
6/9/2025 10:35:42;si;Masculino;18-25;Universitario;Menos de S/ 1,000;( ) 2–3;Ocasionalmente;Supermercado;Calidad;Menos de S/ 150;( ) Noche (6 p.m. – 9 p.m.);Neutro;Neutro;Pan, Aceite, Pollo, Arroz, Frutas y verduras;Neutro;Ambos;Ofertas/promociones;Precios bajos;;;;;;;
6/9/2025 10:36:51;si;Femenino;18-25;Universitario;3500-5000;( ) 4–5;Muy Frecuentemente;Supermercado;Precio, Variedad, Calidad, Atención al cliente, Promociones/ofertas;Más de S/ 350;( ) Noche (6 p.m. – 9 p.m.);Neutro;Neutro;Pan, Pollo;De acuerdo;Ambos;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Preferencia personal, Atención al cliente/seguridad;Precios bajos, Productos frescos, Apoyo a la economía local;;;;;;;
6/9/2025 10:37:19;si;Femenino;18-25;Universitario;3500-5000;( ) 4–5;Ocasionalmente;Supermercado;Precio, Variedad, Calidad;Más de S/ 350;( ) Varía;De acuerdo;De acuerdo;Pollo;De acuerdo;Mercado tradicional;Variedad de productos, Ofertas/promociones;Precios bajos, Productos frescos, Cercanía a su hogar;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Universitario;Mas de 5000;( ) Más de 5;Frecuentemente;Ambos;Precio, Calidad, Cercanía;S/ 250 – S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Neutro;Pan, Frutas y verduras;Totalmente de acuerdo;Supermercado;Mayor limpieza y orden, Variedad de productos, Ofertas/promociones, Atención al cliente/seguridad;Productos frescos, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;si;Femenino;18-25;Universitario;Mas de 5000;( ) Más de 5;Ocasionalmente;Ambos;Precio, Variedad, Calidad, Promociones/ofertas;Más de S/ 350;( ) Tarde (12 p.m. – 6 p.m.);Totalmente de acuerdo;Neutro;Pan, Aceite, Pollo, Arroz;Neutro;Mercado tradicional;Mayor limpieza y orden, Variedad de productos, Preferencia personal;Productos frescos, Trato directo con vendedores, Apoyo a la economía local;;;;;;;
6/9/2025 10:20:16;si;Masculino;18-25;Primaria incompleta/completa;Menos de S/ 1,000;( ) 1;Ocasionalmente;Supermercado;Calidad;S/ 150 – S/ 250;( ) Tarde (12 p.m. – 6 p.m.);Neutro;De acuerdo;Aceite;Totalmente de acuerdo;Mercado tradicional;Ofertas/promociones;Cercanía a su hogar, Apoyo a la economía local;;;;;;;
